trait_name,trait_value,Species Count
fire_time_from_fire_to_fruiting,14.6511627906977 (1),8
lifespan,<50 (g),8
plant_tolerance_water_logged_soils,1-6_months (2); greater_than_6_months (2); less_than_1_month (2),8
dispersers,invertebrates (2),8
clonal_spread_mechanism,belowground_clonal (1); rhizome (1),8
plant_tolerance_salt,halophyte_moderate (3),8
flowering_time,ynnnnnnnnyyy (V),8
bud_bank_location,basal_stem_buds (2); epicormic_buds (2),8
nitrogen_fixing,nitrogen_fixer (4),8
storage_organ,rhizome (5),8
seedbank_location,soil_seedbank (1); soil_seedbank_absent (1),7
stem_growth_habit,rhizomatous (3),7
lifespan,<1 (V),7
plant_growth_form,shrub (1),7
plant_growth_form,shrub (11),7
plant_growth_form,graminoid (V); tussock (V),7
seedbank_longevity_class,transient (4),7
plant_type_by_resource_use,psammophile (1),7
stem_growth_habit,decumbent (2); erect (2),7
stem_growth_habit,decumbent (V); erect (V),7
pollination_syndrome,abiotic (2),7
flowering_time,nnnnnnnnnynn (V),7
flowering_time,yyyynnnnnnny (V),7
plant_growth_form,shrub (3); tree (3),7
fire_time_from_fire_to_fruiting,23.4883720930233 (1),7
plant_physical_defence_structures,sharp_pointed_defence (2),7
fire_time_from_fire_to_fruiting,3.72093023255814 (1),7
pollination_syndrome,bee (1),7
fire_time_from_fire_to_flowering,3.48837209302326 (1),7
flower_colour,pink (1); white_cream (1); yellow_orange (1),7
flower_colour,blue_purple (V),7
plant_growth_form,subshrub (V),7
bud_bank_location,epicormic_buds (1),7
life_history,annual (1),7
plant_tolerance_inundation,not_applicable (4),7
seedling_germination_location,hypogeal (1),7
plant_growth_form,shrub (2); tree (2),7
root_system_type,tap_root_present (4),7
reproductive_maturity,2 (1); 5--20 (1),7
plant_growth_substrate,aquatic (4),7
flower_colour,pink (1); red_brown (1),7
fire_time_from_fire_to_fruiting,6.97674418604651 (1),7
reproductive_maturity,4 (1); 5--20 (1),7
fire_time_from_fire_to_flowering,10 (1),7
fruit_colour,brown (3),7
fruit_colour,brown (2); yellow (2),7
lifespan,100 (1); 50--100 (1); >500 (1),7
flowering_time,nnnnnnnnyyyy (1),7
life_history,perennial (13),7
dispersal_syndrome,myrmecochory (g),7
dispersal_syndrome,myrmecochory (V); zoochory (V),7
fire_time_from_fire_to_peak_flowering,48 (1); 60 (1),7
stem_growth_habit,caespitose (1); rhizomatous (1),7
seed_germination_time,441 (1),7
recruitment_time,yyyyyyyyyyyy (2),7
fire_time_from_fire_to_fruiting,22.5581395348837 (1),7
plant_height,45 (V),7
plant_height,5 (1),7
fire_time_from_fire_to_fruiting,24.1860465116279 (1),7
flowering_time,yynnnnnnnnny (f),7
seedbank_location,canopy_seedbank (3),7
lifespan,25 (1); 5 (1),7
flowering_time,yynnnnnnnnyy (V),7
flowering_time,yynnnnnnnyyy (1),7
resprouting_capacity,fire_killed (1); partial_resprouting (1); resprouts (1),7
seed_germination_time,63 (1),7
storage_organ,rhizome (g),7
plant_tolerance_snow,days (4),7
seed_germination_treatment,scarify (1),7
stem_growth_habit,erect,7
bud_bank_location,basal_buds (1); basal_stem_buds (1); none (1),7
dispersal_syndrome,hydrochory (1),7
flowering_time,nnnnnnyyyyyn (V),7
seed_germination_time,168 (1),7
dispersers,water (1),7
seedbank_longevity,2-- (4),7
seedbank_longevity_class,persistent (g),7
seed_germination,0.96 (1),7
seed_germination_treatment,light (1),7
seed_germination_time,182 (1),7
parasitic,parasitic (V),6
flowering_time,nnnnnnnnnnyy (V),6
dispersers,mammals (1); wind (1),6
seed_germination_treatment,imbibe_hot (V),6
stem_growth_habit,decumbent (1),6
flowering_time,nnnnnnnnnnyn (1),6
fire_time_from_fire_to_peak_flowering,60 (1),6
flowering_time,nnnnnnnyyyyy (V),6
dispersal_syndrome,endozoochory (3),6
dispersal_syndrome,endozoochory (1); zoochory (1),6
plant_tolerance_salt,halophyte_moderate (4),6
plant_height,0.4 (1),6
seedbank_longevity,--2 (1); 2-- (1),6
seedbank_longevity,--2 (4),6
plant_tolerance_soil_salinity,80 (1),6
plant_height,0.8 (1),6
fire_time_from_fire_to_flowering,4.41860465116279 (1),6
stem_growth_habit,stoloniferous (1),6
reproductive_maturity,3 (1); 5--20 (1),6
plant_growth_substrate,aquatic (2),6
plant_growth_substrate,aquatic (3),6
flower_colour,green (1); white_cream (1); yellow_orange (1),6
plant_growth_form,tree (1),6
plant_height,1 (3),6
bud_bank_location,basal_buds (1); epicormic_buds (1),6
reproductive_light_environment_index,7 (1),6
flowering_time,yynnnnnnnnny (3),6
vegetative_reproduction_ability,not_vegetative (2); vegetative (2),6
flowering_time,ynnnnnnyyyyy (V),6
reproductive_maturity,1 (1); 1--5 (1); 2 (1),6
reproductive_maturity,5 (V),6
reproductive_maturity,5 (1); 5--20 (1),6
plant_growth_form,herb (V); tussock (V),6
resprouting_capacity_proportion_individuals,0 (V),6
seed_germination_time,84 (1),6
fruit_colour,green (V),6
flower_colour,blue_purple (1); red_brown (1); yellow_orange (1),6
dispersal_syndrome,anemochory (1); zoochory (1),6
dispersers,mammals (1); passive (1),6
plant_climbing_mechanism,scrambling (1),6
fire_time_from_fire_to_flowering,2.32558139534884 (1),6
plant_height,0.3 (2),6
stem_growth_habit,erect (1); rhizomatous (1),6
lifespan,40 (1); 80 (1),6
fruiting_time,nnyyyyyyyyyn (1),6
lifespan,25 (1); 60 (1); <50 (1),6
lifespan,25 (1); 60 (1),6
dispersers,birds (2); vertebrates (2),6
plant_tolerance_water_logged_soils,1-6_months (V); less_than_1_month (V),6
plant_tolerance_water_logged_soils,less_than_1_month (V),6
dispersal_syndrome,ballistic (1),6
dispersers,water (V),6
flowering_time,nnnnnnnnnyyn (V),6
seed_germination_time,140 (1),6
plant_height,0.1 (1),6
stem_growth_habit,erect (1); prostrate (1); spreading (1),6
fire_time_from_fire_to_flowering,6 (1),6
leaf_type,scale (2),6
stem_growth_habit,dense (1),6
stem_growth_habit,dense,6
bud_bank_location,rhizome (V),6
fruit_colour,black (1); blue (1),6
flower_colour,yellow_orange (V),6
plant_tolerance_water_logged_soils,not_applicable (4),6
flowering_time,nnnnnnyyyyyy (V),6
flowering_time,nnnnnnnnnyyy (1),6
vegetative_reproduction_ability,vegetative (5),6
fruiting_time,yyyyyyyynnny (1),6
bud_bank_location,none (g),6
resprouting_capacity,fire_killed (V); resprouts (V),6
stem_growth_habit,climbing (1); sprawling (1),6
plant_tolerance_salt,halophyte (1); hydrohalophyte (1),6
fruiting_time,nnnnnnnnyyyy (1),6
flowering_time,yyyyynnnnnny (1),6
dispersers,ants (V); invertebrates (V),5
resprouting_capacity_non_fire_disturbance,resprouts_non_fire_disturbance (4),5
plant_growth_form,climber_herbaceous (V); herb (V),5
plant_growth_form,tree (3),5
flowering_time,nnnnnnnyynnn (V),5
reproductive_maturity,6--10 (1),5
resprouting_capacity_juvenile,juvenile_fire_killed (2),5
resprouting_capacity,resprouts (9),5
plant_growth_substrate,aquatic (V),5
fire_time_from_fire_to_fruiting,6.04651162790698 (1),5
flowering_time,nnnyyyyyyynn (V),5
plant_height,0.05 (1),5
vegetative_reproduction_ability,vegetative (4),5
seed_germination_time,210 (1),5
fire_time_from_fire_to_fruiting,9.76744186046512 (1),5
lifespan,50--100 (1); <1 (1),5
dispersers,invertebrates (1); passive (1); wind (1),5
storage_organ,corm (5),5
resprouting_capacity,resprouts (8),5
flower_colour,blue_purple (1); green (1); white_cream (1); yellow_orange (1),5
plant_height,0.75 (V),5
plant_height,0.6 (2),5
bud_bank_location,basal_buds (V),5
plant_height,0.25 (V),5
seedbank_location,none (1),5
flowering_time,yyyyynnnnyyy (V),5
root_structure,ectomycorrhizal (2),5
dispersers,birds (1); passive (1),5
flower_colour,blue_purple (1); pink (1); white_cream (1); yellow_orange (1),5
flowering_time,yyyyynnnyyyy (1),5
storage_organ,stem_tuber (4),5
root_structure,arbuscular_mycorrhizal (4),5
seed_germination_treatment,heat (1); imbibe_hot (1),5
dispersal_syndrome,myrmecochory (2),5
resprouting_capacity,fire_killed (7),5
seed_dormancy_class,physiological_dormancy (f),5
dispersal_syndrome,undefined (1),5
seed_dormancy_class,physiological_dormancy (2),5
flower_colour,green (1); red_brown (1); white_cream (1); yellow_orange (1),5
storage_organ,stem_tuber (V),5
plant_height,0.5 (V); 0.6 (V),5
flowering_time,ynnnnnnnnyyy (1),5
dispersal_syndrome,anemochory (6),5
dispersal_syndrome,anemochory (5),5
seed_germination_time,147 (1),5
stem_growth_habit,rosette (4),5
flower_colour,yellow_orange (g),5
seed_germination,0.8 (1),5
dispersers,abiotic (1); animals (1); birds (1),5
life_history,annual (11),5
fire_time_from_fire_to_fruiting,10.6976744186047 (1),5
fire_time_from_fire_to_flowering,48 (1),5
plant_height,7 (V),5
seed_germination_time,154 (1),5
bud_bank_location,stolon (1),5
flower_structural_sex_type,incompletely_unisexual (1),5
stem_growth_habit,rhizomatous (g),5
life_history,annual (V); biennial (V),5
pollination_syndrome,insect (5),5
fruiting_time,yyynnnnnnyyy (1),5
fruiting_time,nyyyyyyyyynn (1),5
fruiting_time,nnyyynnnnnnn (1),5
life_history,annual (6); perennial (6),5
fire_time_from_fire_to_fruiting,28.8372093023256 (1),5
fire_time_from_fire_to_flowering,8.37209302325581 (1),5
seed_germination_treatment,heat_lethal (1),5
stem_growth_habit,spreading (2),5
dispersal_syndrome,epizoochory (1); zoochory (1),5
fruit_colour,blue (V),5
plant_growth_substrate,epiphyte (V),5
flower_colour,blue_purple (1); red_brown (1); white_cream (1),5
plant_height,0.25 (1),5
plant_height,0.2 (1); 0.3 (1),5
plant_height,0.15 (1),5
seed_germination_treatment,stratification (1),5
dispersal_syndrome,anemochory (7),5
fire_time_from_fire_to_flowering,36 (1),5
plant_tolerance_salt,salinity_tolerance_undefined (V),5
plant_tolerance_snow,days (V); weeks (V),5
flowering_time,yyynnnnnnnyy (V),5
seedling_establishment_conditions,establish_intermediate_to_mature_vegetation (1),5
seedbank_longevity,1-- (1),5
bud_bank_location,none (3),5
bud_bank_location,fleshy_underground_organ (1); stem_tuber (1),5
flowering_time,nnnnnnnnyynn (V),5
fruiting_time,yyyyynnnnyyy (1),5
dispersal_syndrome,anemochory (V); barochory (V),5
dispersers,birds (1); flying_vertebrates (1),5
fruit_colour,purple (1),5
fruiting_time,nnnnnnnnnyyy (1),5
flowering_time,nnnnnnnnyyyn (1); ynnnnnnyyyyy (1),5
flowering_time,nnnnnnnnyyyn (1); nnnnyyyyyynn (1),5
plant_height,3 (2),5
fire_time_from_fire_to_fruiting,4.41860465116279 (1),5
fire_time_from_fire_to_fruiting,4.18604651162791 (1),5
lifespan,100 (1); >500 (1),5
plant_growth_form,herb (13),5
fruit_colour,brown (V); red (V),5
fruiting_time,nnnyyyyyynnn (1),5
reproductive_maturity,1--5 (1); 2 (1); 3 (1),5
reproductive_maturity,0.288461538461538 (1),5
reproductive_maturity,0--1 (3),5
reproductive_maturity,5 (1),5
stem_growth_habit,compact (1),5
life_history,short_lived_perennial (V),5
plant_height,2 (2),5
plant_growth_form,tree (10),5
flower_colour,green (V),5
plant_growth_form,tree (9),5
fire_time_from_fire_to_flowering,2.7906976744186 (1),5
reproductive_maturity,1--5 (3),5
root_system_type,tap_root_present (3),5
pollination_syndrome,abiotic (V); wind (V),5
stem_growth_habit,climbing (2),5
pollination_syndrome,vertebrate (V),5
dispersal_syndrome,anemochory (1); barochory (1); zoochory (1),5
stem_growth_habit,erect (V); prostrate (V),5
seedbank_location,soil_seedbank (4),5
dispersers,wind (6),5
dispersers,wind (5),5
plant_growth_form,tree (2),5
plant_growth_form,tree (11),5
recruitment_time,nyyyyyyyyynn (1); yyyyyyyyyyyy (1),5
serotiny,serotinous (4),5
flowering_time,nnnnnnnyyyyy (1),5
flowering_time,yynnnnnnnyyy (V),5
flowering_time,yynnnnnnnnyy (1),5
fruit_colour,yellow (2),5
stem_growth_habit,decumbent (1); prostrate (1),5
dispersers,vertebrates (1),5
seedbank_longevity,0--0.2 (1),5
dispersers,ants (1); wind (1),5
dispersers,ants (1); mammals (1),5
plant_height,50 (V),5
serotiny,serotinous (V),5
bud_bank_location,basal_buds (V); basal_stem_buds (V),4
bud_bank_location,basal_stem_buds (1); epicormic_buds (1),4
flowering_time,ynnnnnnnnnyy (2),4
flowering_time,ynnnnnnnyyyy (1),4
flowering_time,ynnnnnnnyyyy (V); yynnnnnnyyyy (V),4
flowering_time,ynnnnnyyyyyy (V),4
bud_bank_location,basal_buds (1); bud-bearing_root (1),4
flowering_time,nnnnnyyyyyyn (V),4
flower_colour,green (1); pink (1); white_cream (1),4
dispersers,water (2),4
seed_germination_treatment,imbibe_hot (1),4
plant_height,0.2 (V); 1 (V),4
lifespan,30 (1),4
lifespan,40 (1); 50-500 (1); 80 (1),4
plant_height,0.3 (1); 0.5 (1),4
flower_colour,blue_purple (1); green (1); red_brown (1),4
flower_colour,blue_purple (1); green (1); red_brown (1); white_cream (1); yellow_orange (1),4
plant_height,0.35 (V),4
lifespan,<10 (3),4
stem_growth_habit,open (1),4
stem_growth_habit,prostrate (1); spreading (1),4
stem_growth_habit,prostrate (2),4
competitive_stratum,ground (1),4
plant_height,1 (1); 1.5 (1),4
plant_height,0.45 (V),4
plant_height,0.7 (1),4
seedbank_location,canopy_seedbank (4),4
seed_germination_time,42 (1),4
seed_germination_time,77 (1),4
fire_time_from_fire_to_fruiting,6.51162790697674 (1),4
fire_time_from_fire_to_fruiting,8.37209302325581 (1),4
plant_height,1 (V); 2 (V),4
fire_time_from_fire_to_fruiting,9.06976744186047 (1),4
fire_time_from_fire_to_fruiting,9.53488372093023 (1),4
fire_time_from_fire_to_peak_flowering,36 (1); 48 (1),4
plant_growth_substrate,epiphyte (1),4
plant_growth_substrate,epiphyte (2),4
plant_height,2 (1); 4 (1),4
lifespan,10 (1),4
lifespan,10--20 (1),4
life_history,perennial (11),4
life_history,perennial (12),4
plant_height,1.5 (1); 2 (1),4
plant_height,12 (V),4
fire_time_from_fire_to_fruiting,46.046511627907 (1),4
fire_time_from_fire_to_fruiting,2.7906976744186 (1),4
plant_height,40 (V),4
fire_time_from_fire_to_fruiting,34.6511627906977 (1),4
fire_time_from_fire_to_fruiting,28.3720930232558 (1),4
serotiny,serotinous (2),4
serotiny,serotinous (3),4
plant_physical_defence_structures,absent (6),4
plant_growth_form,tree (12),4
dispersers,ants (1); birds (1),4
stem_growth_habit,erect (2); prostrate (2),4
stem_growth_habit,erect (3); spreading (3),4
stem_growth_habit,erect (V); spreading (V),4
dispersal_syndrome,anemochory (1); hydrochory (1),4
plant_tolerance_inundation,less_than_1_month (5),4
fire_time_from_fire_to_fruiting,14.1860465116279 (1),4
fire_time_from_fire_to_flowering,9.06976744186047 (1),4
flowering_time,nnnnnnnnyynn (1),4
life_history,annual (9),4
seedbank_longevity,--1 (1),4
flower_colour,white_cream (3),4
competitive_stratum,mid,4
seed_germination_time,161 (1),4
fire_time_from_fire_to_flowering,7.67441860465116 (1),4
fire_time_from_fire_to_flowering,8.13953488372093 (1),4
plant_tolerance_salt,glycophyte (4),4
fire_time_from_fire_to_flowering,6.04651162790698 (1),4
plant_tolerance_inundation,1-6_months (2); greater_than_6_months (2); less_than_1_month (2),4
plant_tolerance_inundation,1-6_months (2); less_than_1_month (2),4
plant_tolerance_inundation,1-6_months (3); less_than_1_month (3),4
plant_tolerance_inundation,1-6_months (4); less_than_1_month (4),4
fire_time_from_fire_to_flowering,11.3953488372093 (1),4
seed_germination_time,119 (1),4
dispersal_syndrome,ballistic (V),4
dispersal_syndrome,anemochory (8),4
plant_tolerance_salt,halophyte_moderate (1); salinity_tolerance_undefined (1),4
fruiting_time,yyyyynnnnnyy (1),4
fruiting_time,yyyyyyynnnnn (1),4
seedbank_longevity,1-- (1); 2-- (1),4
seed_germination,0.95 (V),4
plant_tolerance_salt,salt_spray_tolerant (2),4
fire_time_from_fire_to_flowering,4.18604651162791 (1),4
plant_tolerance_snow,days (1); not_applicable (1),4
plant_tolerance_snow,days (2); months (2); weeks (2),4
fruiting_time,yyyynnnnnnny (1),4
fruiting_time,yyyynnnnyyyy (1),4
plant_tolerance_snow,days (3); weeks (3),4
seed_germination_time,224 (1),4
seed_germination,0.92 (1),4
dispersers,abiotic (1); animals (1); invertebrates (1),4
flowering_cues,fire,4
plant_growth_form,shrub (4); tree (4),4
plant_growth_form,shrub (5); tree (5),4
plant_growth_form,shrub (6); tree (6),4
flower_colour,yellow_orange (3),4
plant_growth_form,palmoid (V),4
stem_growth_habit,erect (1); rosette (1),4
plant_tolerance_water_logged_soils,1-6_months (3); less_than_1_month (3),4
plant_tolerance_water_logged_soils,1-6_months (4); greater_than_6_months (4); less_than_1_month (4),4
fruiting_time,nnyyyyyyynnn (1),4
flowering_time,nnnnnnnnyyyn (1); nnnnnnnyyynn (1),4
fruiting_time,yyynnnnnnnnn (1),4
plant_tolerance_water_logged_soils,1-6_months (4); less_than_1_month (4),4
stem_growth_habit,decumbent (V); prostrate (V),4
flowering_time,yyynnnnnnyyy (V),4
flowering_time,yyynnnnnyyyy (V),4
flowering_time,yyynnnnyyyyy (V),4
flowering_time,nnnnnnnyyynn (2),4
flowering_time,nnnnnnnyyyyn (2),4
fire_time_from_fire_to_flowering,12 (1); 24 (1),4
fire_time_from_fire_to_flowering,24 (1); 36 (1),4
fire_time_from_fire_to_flowering,24 (V),4
pollination_system,bee (1),4
stem_growth_habit,climbing (1); rhizomatous (1),4
plant_growth_form,herb,4
fire_time_from_fire_to_flowering,24 (1); 24.1860465116279 (1); 36 (1); 36.2790697674419 (1),4
post_fire_recruitment,post_fire_recruitment (2); post_fire_recruitment_absent (2),4
fruit_colour,white (1),4
flowering_time,nnnnnnnnyyyn (1); ynnnyyyyyyyy (1),4
dispersal_syndrome,endozoochory (4),4
stem_growth_habit,caespitose (V); erect (V),4
stem_growth_habit,climbing (1); erect (1),4
reproductive_maturity,4 (2),4
reproductive_maturity,1 (1); 1--5 (1); 5 (1),4
reproductive_maturity,1 (1); 5--20 (1),4
reproductive_maturity,1 (V),4
fruit_colour,green (2),4
plant_growth_form,herb (14),4
plant_growth_form,herb (15),4
plant_growth_form,graminoid (2); herb (2); tussock (2),4
stem_growth_habit,tufted (2),4
reproductive_maturity,2 (1); 3 (1),4
root_system_type,tap_root_sometimes_present (1),4
seed_dormancy_class,non_dormant (1); physiological_dormancy (1),4
