scientific_name,common_name,reserve_name,decimal_latitude,decimal_longitude,date_of_observation,plant_growth_form
Colocasia esculenta,Taro,Not in a reserve,-33.971278,151.040603,8/11/2022 15:10,geophyte (1); herb (7)
Comesperma ericinum,,Not in a reserve,-33.980556,151.008333,,shrub (12); subshrub (1)
Comesperma sphaerocarpum,,Not in a reserve,-33.9167,151.0167,,herb (2); shrub (2); subshrub (1)
Commelina diffusa,,Lansdowne,-33.89297001,150.9768421,23/10/2024 12:00,
Commersonia fraseri,Brush Kurrajong,Norfolk Reserve,-33.893604,151.062656,1/5/2004 12:00,
Commersonia rugosa,,Lansdowne,-33.900638,150.966746,17/9/2009 0:00,
Conospermum ericifolium,,Not in a reserve,-33.928986,151.024518,1/6/2000 0:00,shrub (4); subshrub (1)
Conospermum ericifolium,,Not in a reserve,-33.916667,151.1,,shrub (4); subshrub (1)
Conospermum taxifolium,Variable Smoke-bush,Not in a reserve,-33.91509,151.084491,1802-01-01 00:00:00,shrub (11)
Convolvulus angustissimus,Blushing Bindweed,Not in a reserve,-33.890792,151.033782,15/10/2024 9:13,climber (1); climber_herbaceous (1); herb (4)
Convolvulus arvensis,Common Bindweed,Not in a reserve,-33.884245,150.993082,28/11/2023 0:00,herb (5); shrub (1)
Convolvulus arvensis,Common Bindweed,Not in a reserve,-33.89015,151.03269,28/5/2024 0:00,herb (5); shrub (1)
Conza albida,Tall Fleabane,Virginius Reserve,-33.960678,151.022552,1/5/2004 12:00,
Coprosma repens,Mirror Bush,Virginius Reserve,-33.960678,151.022552,1/5/2004 12:00,shrub (6); tree (4)
Coprosma repens,Mirror Bush,Not in a reserve,-33.94678,151.02494,55:47.7,shrub (6); tree (4)
Cordyline stricta,,Not in a reserve,-33.97967,151.00081,23/4/2009 0:00,shrub (6)
Cordyline stricta,,Not in a reserve,-33.935253,150.9881,27/6/2020 0:00,shrub (6)
Coronidium elatum,,Not in a reserve,-33.915713,151.128053,19/9/2023 17:50,herb (1); shrub (4); subshrub (2)
Correa baeuerlenii,Chef's Cap,Not in a reserve,-33.902233,151.092651,08:35.4,shrub (4)
Corybas fimbriatus,,Lansdowne,-33.9,150.983333,26/4/1955 0:00,herb (6)
Corymbia calophylla,Marri,Not in a reserve,-33.917985,151.088586,25/3/2015 0:22,mallee (1); tree (8)
Corymbia calophylla,Marri,Not in a reserve,-33.888702,151.016994,29/3/2015 15:01,mallee (1); tree (8)
Cotoneaster coriaceus,Milk-flower Cotoneaster,Not in a reserve,-33.906258,151.121524,5/4/2019 14:11,shrub (1)
Cotula leptinella,,Kelso Creek,-33.950301,150.984015,1/5/2004 12:00,
Crassula decumbens,,Monash Reserve,-33.963992,150.988145,1/5/2004 12:00,
Crassula helmsii,,Not in a reserve,-33.916667,151.116667,,herb (6)
Crassula sp. tetramera,,Monash Reserve,-33.963992,150.988145,1/5/2004 12:00,
Crataegus spp.,Hawthorn,Lambeth Reserve,-33.971772,150.996708,1/5/2004 12:00,
Crinum spp.,Crinum Lily,Richardson Reserve,-33.963555,151.027909,1/5/2004 12:00,
Cryptandra ericoides,,Not in a reserve,-33.916667,151.133333,1894-03-02 00:00:00,shrub (7); subshrub (1)
Cryptandra propinqua,,Lansdowne,-33.892402,150.976402,11/9/2009 0:00,"shrub, shrub (5)"
Cryptandra propinqua,,Not in a reserve,-33.976003,151.006005,11/9/2009 0:00,"shrub, shrub (5)"
Cryptostylis subulata,Large Tongue-orchid,Not in a reserve,-33.972442,151.013411,20/10/2019 12:49,herb (10)
Cryptostylis subulata,Large Tongue-orchid,Not in a reserve,-33.972122,151.012619,22/10/2022 12:58,herb (10)
Cucurbita moschata,Squash,Not in a reserve,-33.923631,151.072839,26/3/2024 18:21,
Cuscuta australis,Australian Dodder,Adept Lane Reserve,-33.930189,151.035261,1/5/2004 12:00,
Cuscuta australis,Australian Dodder,Lansdowne,-33.89297001,150.9768421,23/10/2024 12:00,
Cycnogeton microtuberosum,,Lansdowne,-33.898333,150.967778,15/2/1989 0:00,
Cycnogeton multifructum,,Not in a reserve,-33.916667,151.116667,11/11/1997 0:00,herb (5)
Cymbalaria muralis,Ivy-leaf Toadflax,Not in a reserve,-33.92694,151.14242,8/10/2019 0:00,herb (4)
Cymbalaria muralis,Ivy-leaf Toadflax,Not in a reserve,-33.91447,151.121685,17/11/2024 11:10,herb (4)
Cymbidium canaliculatum,Tiger Orchid,Not in a reserve,-33.9,151.1,15/11/1948 0:00,herb (6)
Cymbidium suave,,Not in a reserve,-33.929318,151.126874,14/10/2021 13:23,herb (6)
Cymbidium suave,,Not in a reserve,-33.975473,151.003852,3/1/2022 8:44,herb (6)
Cymbonotus lawsonianus,,Not in a reserve,-33.935253,150.9881,27/6/2020 0:00,herb (6)
Cymbopogon spp.,Lemongrass,Manahan Reserve,-33.92033,151.006218,1/5/2004 12:00,
Cyperus enervis,,Crest,-33.911035,150.996728,7/3/2008 0:00,graminoid (2); herb (1); tussock (1)
Cyperus mirus,,Not in a reserve,-33.9,151.116667,23/4/2012 0:00,graminoid (2); herb (1)
Cyperus odoratus,,Not in a reserve,-33.966667,151,2/4/2016 0:00,graminoid (2); herb (1)
Cyperus papyrus,Papyrus,Thomas Street Depot,-33.96590278,151.013035,1/5/2004 12:00,
Cyperus platystylis,,Not in a reserve,-33.966667,151,28/4/2018 0:00,graminoid (3); herb (2)
Cyperus platystylis,,Not in a reserve,-33.978142,151.003769,17/6/2018 0:00,graminoid (3); herb (2)
Cyperus tetraphyllus,,Not in a reserve,-33.9,151.016667,,graminoid (2); herb (2)
Dactyloctenium aegyptium,Coast Button Grass,Virginius Reserve,-33.958633,151.021552,9/3/2021 10:14,graminoid (4); herb (5); tussock (2)
Dactyloctenium aegyptium,Coast Button Grass,Lansdowne,-33.900544,150.968117,2/2/2022 7:51,graminoid (4); herb (5); tussock (2)
Darwinia fascicularis,,Not in a reserve,-33.978653,151.001309,15:40.0,shrub (5)
Daviesia genistifolia,,Airport Reserve,-33.928863,150.983869,6/3/2020 0:00,shrub (10); subshrub (1)
Daviesia squarrosa,,Not in a reserve,-33.883333,150.983333,,shrub (6)
Daviesia ulicifolia subsp. stenophylla,,Lansdowne,-33.899139,150.985245,4/11/2022 14:14,shrub (2)
