"species_id","scientific_name"
"169","Acianthus fornicatus"
"170","Trifolium repens"
"171","Chascolytrum subaristatum"
"172","Oxalis pes-caprae"
"173","Pseuderanthemum variabile"
"174","Rumex brownii"
"175","Geranium homeanum"
"176","Philotheca scabra"
"177","Parietaria judaica"
"178","Trema tomentosa"
"179","Corymbia gummifera"
"180","Araucaria cunninghamii"
"181","Diuris aurea"
"182","Pterostylis nutans"
"183","Tecoma stans"
"184","Leptospermum polygalifolium"
"185","Coleonema pulchellum"
"186","Capsella bursa-pastoris"
"187","Melicope micrococca"
"188","Avicennia marina"
"189","Asparagus aethiopicus"
"190","Lepidium bonariense"
"191","Goodenia hederacea"
"192","Syncarpia glomulifera"
"193","Senna barronfieldii"
"194","Dichondra repens"
"195","Lomandra longifolia"
"196","Euphorbia peplus"
"197","Acacia fimbriata"
"198","Phyllanthus hirtellus"
"199","Burchardia umbellata"
"200","Elaeocarpus reticulatus"
"201","Apium graveolens"
"202","Opercularia aspera"
"203","Lomandra obliqua"
"204","Sonchus oleraceus"
"205","Briza minor"
"206","Sida rhombifolia"
"207","Acacia ulicifolia"
"208","Phyllanthus tenellus"
"209","Notelaea venosa"
"210","Bidens pilosa"
"211","Bossiaea prostrata"
"212","Ricinus communis"
"213","Ligustrum lucidum"
"214","Pyrostegia venusta"
"215","Utricularia oppositiflora"
"216","Briza maxima"
"217","Leptomeria acida"
"218","Kennedia rubicunda"
"219","Erythrorchis cassythoides"
"220","Grevillea mucronulata"
"221","Malva parviflora"
"222","Dillwynia sieberi"
"223","Ricinocarpos pinifolius"
"224","Chloris truncata"
"225","Pomax umbellata"
"226","Freesia leichtlinii"
"227","Rumex hypogaeus"
"228","Tristaniopsis laurina"
"229","Drosera peltata"
"230","Diuris maculata"
"231","Pomaderris prunifolia"
"232","Tropaeolum majus"
"233","Woollsia pungens"
"234","Cyperus brevifolius"
"235","Daviesia ulicifolia"
"236","Ozothamnus diosmifolius"
"237","Eucalyptus tereticornis"
"238","Rumex crispus"
"239","Dockrillia linguiformis"
"240","Bryophyllum delagoense"
"241","Acer negundo"
"242","Bidens alba"
"243","Atriplex prostrata"
"244","Actinotus helianthi"
"245","Trachymene incisa"
"246","Paspalum notatum"
"247","Bromus catharticus"
"248","Pterostylis rufa"
"249","Cestrum parqui"
"250","Senecio hispidulus"
"251","Convolvulus erubescens"
"252","Micrantheum ericoides"
"253","Leptospermum trinervium"
"254","Nerium oleander"
"255","Xanthorrhoea arborea"
"256","Symphyotrichum subulatum"
"257","Acacia brownii"
"258","Lomandra hystrix"
"259","Tricoryne simplex"
"260","Persicaria lapathifolia"
"261","Agave attenuata"
"262","Zornia dyctiocarpa"
"263","Phragmites australis"
"264","Asplenium flabellifolium"
"265","Dipodium variegatum"
"266","Lobelia purpurascens"
"267","Cinnamomum camphora"
"268","Hypericum gramineum"
"269","Euphorbia dendroides"
"270","Lepidium didymum"
"271","Ochna serrulata"
"272","Zieria pilosa"
"273","Centella asiatica"
"274","Plectranthus verticillatus"
"275","Vicia hirsuta"
"276","Veronica persica"
"277","Commersonia dasyphylla"
"278","Angophora costata"
"279","Coronidium oxylepis"
"280","Einadia polygonoides"
"281","Alternanthera philoxeroides"
"282","Lysimachia loeflingii"
"283","Plumbago auriculata"
"284","Sonchus asper"
"285","Acacia iteaphylla"
"286","Setaria parviflora"
"287","Asplenium australasicum"
"288","Smilax glyciphylla"
"289","Acacia pubescens"
"290","Dendrophthoe vitellina"
"291","Chloris virgata"
"292","Amyema miquelii"
"293","Leucopogon microphyllus"
"294","Aristida vagans"
