reserve_id,asset_name,location,suburb,asset_type,asset_sub_type,asset_class,shape_file_name,shape_file_path
153,"Unnamed Reserve, 2 Ferrier Road","2 Ferrier Road, Birrong",Birrong,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
154,Alkoomie Street - Small Park,"Alkoomie Street, Beverly Hills",Beverly Hills,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
155,"Unnamed Reserve, Biloela Street","131A Biloela Street, Villawood",Villawood,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
156,Virginius Reserve,"62 Virginius Street, Revesby",Revesby,"Bushland, Passive",Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
157,Sidings Park,"112-114 Stansfield Avenue, Bankstown",Bankstown,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
158,De Witt Reserve,"13 De Witt Street, Bankstown",Bankstown,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
159,Carl Little Reserve,"132 Cahors Road, Padstow",Padstow,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
160,Lesley Muir Reserve,"6 Sugar Road, Canterbury",Canterbury,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
161,Nugent Park North,"6 Chester Hill Road, Chester Hill",Chester Hill,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
162,Knox Street Reserve,"50-52 Knox Street, Belmore",Belmore,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
163,Joe Poole Reserve,"2A Barre Street, Hurlstone Park",Hurlstone Park,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
164,Albert Park,"2 The Walk, Earlwood",Earlwood,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
165,Pobje Reserve,"13 Pobje Avenue, Birrong",Birrong,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
166,Burton Reserve,"17 Burton Avenue, Chester Hill",Chester Hill,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
167,Bruce Avenue - Small Park,"Bruce Avenue, Belfield",Belfield,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
168,Cox Reserve,"94A Sandakan Road, Revesby Heights",Revesby Heights,Bushland,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
169,"Unnamed Reserve, Gibson Avenue","200 Gibson Avenue, Padstow",Padstow,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
170,Edzell Reserve,"221B King Gerges Road, Roselands",Roselands,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
171,Salt Pan Creek Reserve 3 and Riverwood Community Centre,"48B Wiggs Road, Riverwood",Riverwood,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
