Species Name,Family,Genus,Local Status,Fire Traits
Allocasuarina paludosa,Casuarinaceae,Allocasuarina,native,"{'post_fire_recruitment': 'post_fire_recruitment (2)', 'resprouting_capacity': 'resprouts (4)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (1)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (1)'}"
Allocasuarina torulosa,Casuarinaceae,Allocasuarina,native,"{'post_fire_recruitment': 'post_fire_recruitment (2)', 'resprouting_capacity': 'resprouts (5)'}"
Almaleea paludosa,Fabaceae,Almaleea,native,"{'post_fire_recruitment': 'post_fire_recruitment (f)', 'resprouting_capacity': 'fire_killed (3)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (f)'}"
Alphitonia excelsa,Rhamnaceae,Alphitonia,native,"{'post_fire_recruitment': 'post_fire_recruitment (3)', 'resprouting_capacity': 'resprouts (V)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (1)'}"
Alstroemeria psittacina,Alstroemeriaceae,Alstroemeria,Exotic,"{'post_fire_recruitment': 'post_fire_recruitment (1)', 'resprouting_capacity': 'resprouts (1)', 'fire_time_from_fire_to_fruiting': '11.3953488372093 (1)', 'fire_time_from_fire_to_flowering': '11.3953488372093 (1)'}"
Alternanthera denticulata,Amaranthaceae,Alternanthera,native,"{'post_fire_recruitment': 'post_fire_recruitment (1)', 'resprouting_capacity': 'fire_killed (V)', 'fire_time_from_fire_to_flowering': '2.32558139534884 (1)'}"
Alyogyne huegelii,Malvaceae,Alyogyne,native,{'resprouting_capacity': 'fire_killed (f)'}
Amaranthus hybridus,Amaranthaceae,Amaranthus,Exotic,"{'resprouting_capacity': 'fire_killed (1)', 'fire_time_from_fire_to_fruiting': '4.41860465116279 (1)', 'fire_time_from_fire_to_flowering': '2.7906976744186 (1)'}"
Amaranthus macrocarpus,Amaranthaceae,Amaranthus,native,{'resprouting_capacity': 'fire_killed (3)'}
Amaranthus viridis,Amaranthaceae,Amaranthus,Exotic,{'resprouting_capacity': 'fire_killed (1)'}
Ambrosia artemisiifolia,Asteraceae,Ambrosia,Exotic,"{'post_fire_recruitment': 'post_fire_recruitment (f)', 'resprouting_capacity': 'resprouts (2)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (f)', 'fire_time_from_fire_to_flowering': '3.02325581395349 (1)'}"
Ambrosia psilostachya,Asteraceae,Ambrosia,Exotic,"{'post_fire_recruitment': 'post_fire_recruitment (f)', 'resprouting_capacity': 'resprouts (1)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (f)', 'fire_time_from_fire_to_flowering': '12 (f)'}"
